Date,Country,Provider,Share,Source,Notes
2006-04-01,US,Ask,1.32,NetApplications,
2006-04-01,US,Excite,0.14,NetApplications,
2006-04-01,US,Google,69.81,NetApplications,
2006-04-01,US,Lycos,0.07,NetApplications,
2006-04-01,US,MSN,9.43,NetApplications,
2006-04-01,US,Yahoo,15.19,NetApplications,
2006-05-01,US,AOL,1.93,NetApplications,
2006-05-01,US,All the Web,0.04,NetApplications,
2006-05-01,US,AltaVista,0.31,NetApplications,
2006-05-01,US,Ask,1.37,NetApplications,
2006-05-01,US,Excite,0.13,NetApplications,
2006-05-01,US,Google,70.57,NetApplications,
2006-05-01,US,Lycos,0.06,NetApplications,
2006-05-01,US,MSN,9.23,NetApplications,
2006-05-01,US,Yahoo,14.73,NetApplications,
2006-06-01,US,AOL,1.83,NetApplications,
2006-06-01,US,All the Web,0.04,NetApplications,
2006-06-01,US,AltaVista,0.29,NetApplications,
2006-06-01,US,Ask,1.21,NetApplications,
2006-06-01,US,Excite,0.13,NetApplications,
2006-06-01,US,Google,71.15,NetApplications,
2006-06-01,US,Lycos,0.04,NetApplications,
2006-06-01,US,MSN,9.1,NetApplications,
2006-06-01,US,Yahoo,14.61,NetApplications,
2006-07-01,US,AOL,1.86,NetApplications,
2006-07-01,US,All the Web,0.04,NetApplications,
2006-07-01,US,AltaVista,0.28,NetApplications,
2006-07-01,US,Ask,1.05,NetApplications,
2006-07-01,US,Excite,0.13,NetApplications,
2006-07-01,US,Google,71.07,NetApplications,
2006-07-01,US,Lycos,0.04,NetApplications,
2006-07-01,US,MSN,8.65,NetApplications,
2006-07-01,US,Yahoo,15.38,NetApplications,
2006-08-01,US,AOL,1.76,NetApplications,
2006-08-01,US,All the Web,0.03,NetApplications,
2006-08-01,US,AltaVista,0.27,NetApplications,
2006-08-01,US,Ask,1.03,NetApplications,
2006-08-01,US,Excite,0.13,NetApplications,
2006-08-01,US,Google,71.96,NetApplications,
2006-08-01,US,Lycos,0.04,NetApplications,
2006-08-01,US,MSN,8.29,NetApplications,
2006-08-01,US,Yahoo,15.11,NetApplications,
2006-09-01,US,AOL,1.72,NetApplications,
2006-09-01,US,All the Web,0.03,NetApplications,
2006-09-01,US,AltaVista,0.27,NetApplications,
2006-09-01,US,Ask,1.21,NetApplications,
2006-09-01,US,Excite,0.12,NetApplications,
2006-09-01,US,Google,75.1,NetApplications,
2006-09-01,US,Lycos,0.04,NetApplications,
2006-09-01,US,MSN,5.94,NetApplications,
2006-09-01,US,Yahoo,14.25,NetApplications,
2006-10-01,US,AOL,1.9,NetApplications,
2006-10-01,US,All the Web,0.03,NetApplications,
2006-10-01,US,AltaVista,0.26,NetApplications,
2006-10-01,US,Ask,1.23,NetApplications,
2006-10-01,US,Excite,0.11,NetApplications,
2006-10-01,US,Google,74.65,NetApplications,
2006-10-01,US,Lycos,0.04,NetApplications,
2006-10-01,US,MSN,6.95,NetApplications,
2006-10-01,US,Yahoo,13.52,NetApplications,
2006-11-01,US,AOL,2.49,NetApplications,
2006-11-01,US,All the Web,0.03,NetApplications,
2006-11-01,US,AltaVista,0.27,NetApplications,
2006-11-01,US,Ask,1.28,NetApplications,
2006-11-01,US,Excite,0.11,NetApplications,
2006-11-01,US,Google,75.52,NetApplications,
2006-11-01,US,Lycos,0.03,NetApplications,
2006-11-01,US,MSN,6.97,NetApplications,
2006-11-01,US,Yahoo,11.93,NetApplications,
2006-12-01,US,AOL,2.37,NetApplications,
